date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,4682,OKAY,4682,5228
2018-10-01 01:00:00,4833,OKAY,4833,5228
2018-10-01 02:00:00,4971,OKAY,4971,5213
2018-10-01 03:00:00,4870,OKAY,4870,5090
2018-10-01 04:00:00,4555,OKAY,4555,4820
2018-10-01 05:00:00,4208,OKAY,4208,4398
2018-10-01 06:00:00,3892,OKAY,3892,4032
2018-10-01 07:00:00,3712,OKAY,3712,3804
2018-10-01 08:00:00,3601,OKAY,3601,3675
2018-10-01 09:00:00,3588,OKAY,3588,3609
2018-10-01 10:00:00,3577,OKAY,3577,3600
2018-10-01 11:00:00,3704,OKAY,3704,3682
2018-10-01 12:00:00,3957,OKAY,3957,3953
2018-10-01 13:00:00,4434,OKAY,4434,4356
2018-10-01 14:00:00,4691,OKAY,4691,4541
2018-10-01 15:00:00,4746,OKAY,4746,4613
2018-10-01 16:00:00,4765,OKAY,4765,4700
2018-10-01 17:00:00,4759,OKAY,4759,4800
2018-10-01 18:00:00,4790,OKAY,4790,4919
2018-10-01 19:00:00,4772,OKAY,4772,5064
2018-10-01 20:00:00,4859,OKAY,4859,5209
2018-10-01 21:00:00,4988,OKAY,4988,5357
2018-10-01 22:00:00,4999,OKAY,4999,5517
2018-10-01 23:00:00,4983,OKAY,4983,5621
2018-10-02 00:00:00,5045,OKAY,5045,5695
2018-10-02 01:00:00,5130,OKAY,5130,5670
2018-10-02 02:00:00,5184,OKAY,5184,5654
2018-10-02 03:00:00,4990,OKAY,4990,5430
2018-10-02 04:00:00,4727,OKAY,4727,5071
2018-10-02 05:00:00,4409,OKAY,4409,4564
2018-10-02 06:00:00,4105,OKAY,4105,4163
2018-10-02 07:00:00,3918,OKAY,3918,3842
2018-10-02 08:00:00,3797,OKAY,3797,3714
2018-10-02 09:00:00,3735,OKAY,3735,3646
2018-10-02 10:00:00,3725,OKAY,3725,3624
2018-10-02 11:00:00,3833,OKAY,3833,3710
2018-10-02 12:00:00,3999,OKAY,3999,4010
2018-10-02 13:00:00,4451,OKAY,4451,4457
2018-10-02 14:00:00,4698,OKAY,4698,4680
2018-10-02 15:00:00,4807,OKAY,4807,4765
2018-10-02 16:00:00,4921,OKAY,4921,4849
2018-10-02 17:00:00,4988,OKAY,4988,4977
2018-10-02 18:00:00,5014,OKAY,5014,5098
2018-10-02 19:00:00,5059,OKAY,5059,5201
2018-10-02 20:00:00,5082,OKAY,5082,5320
2018-10-02 21:00:00,5174,OKAY,5174,5506
2018-10-02 22:00:00,5179,OKAY,5179,5576
2018-10-02 23:00:00,5305,OKAY,5305,5672
2018-10-03 00:00:00,5303,OKAY,5303,5679
2018-10-03 01:00:00,5408,OKAY,5408,5696
2018-10-03 02:00:00,5479,OKAY,5479,5602
2018-10-03 03:00:00,5307,OKAY,5307,5406
2018-10-03 04:00:00,4996,OKAY,4996,5047
2018-10-03 05:00:00,4673,OKAY,4673,4616
2018-10-03 06:00:00,4348,OKAY,4348,4212
2018-10-03 07:00:00,4094,OKAY,4094,3965
2018-10-03 08:00:00,3947,OKAY,3947,3804
2018-10-03 09:00:00,3876,OKAY,3876,3715
2018-10-03 10:00:00,3874,OKAY,3874,3696
2018-10-03 11:00:00,3952,OKAY,3952,3767
2018-10-03 12:00:00,4213,OKAY,4213,4019
2018-10-03 13:00:00,4663,OKAY,4663,4453
2018-10-03 14:00:00,4848,OKAY,4848,4658
2018-10-03 15:00:00,4943,OKAY,4943,4796
2018-10-03 16:00:00,5008,OKAY,5008,4983
2018-10-03 17:00:00,5152,OKAY,5152,5115
2018-10-03 18:00:00,5300,OKAY,5300,5287
2018-10-03 19:00:00,5458,OKAY,5458,5420
2018-10-03 20:00:00,5601,OKAY,5601,5556
2018-10-03 21:00:00,5770,OKAY,5770,5698
2018-10-03 22:00:00,5905,OKAY,5905,5843
2018-10-03 23:00:00,6008,OKAY,6008,5922
2018-10-04 00:00:00,6019,OKAY,6019,5960
2018-10-04 01:00:00,5882,OKAY,5882,5793
2018-10-04 02:00:00,5687,OKAY,5687,5768
2018-10-04 03:00:00,5430,OKAY,5430,5496
2018-10-04 04:00:00,5099,OKAY,5099,5093
2018-10-04 05:00:00,4637,OKAY,4637,4616
2018-10-04 06:00:00,4297,OKAY,4297,4239
2018-10-04 07:00:00,3972,OKAY,3972,3880
2018-10-04 08:00:00,3830,OKAY,3830,3727
2018-10-04 09:00:00,3750,OKAY,3750,3648
2018-10-04 10:00:00,3779,OKAY,3779,3645
2018-10-04 11:00:00,3793,OKAY,3793,3739
2018-10-04 12:00:00,4040,OKAY,4040,3995
2018-10-04 13:00:00,4505,OKAY,4505,4415
2018-10-04 14:00:00,4666,OKAY,4666,4588
2018-10-04 15:00:00,4674,OKAY,4674,4652
2018-10-04 16:00:00,4691,OKAY,4691,4666
2018-10-04 17:00:00,4722,OKAY,4722,4691
2018-10-04 18:00:00,4719,OKAY,4719,4696
2018-10-04 19:00:00,4816,OKAY,4816,4713
2018-10-04 20:00:00,4937,OKAY,4937,4750
