date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,62,OKAY,62,64
2018-10-01 01:00:00,68,OKAY,68,52
2018-10-01 02:00:00,72,OKAY,72,59
2018-10-01 03:00:00,68,OKAY,68,55
2018-10-01 04:00:00,50,OKAY,50,50
2018-10-01 05:00:00,67,OKAY,67,44
2018-10-01 06:00:00,55,OKAY,55,57
2018-10-01 07:00:00,49,OKAY,49,55
2018-10-01 08:00:00,50,OKAY,50,59
2018-10-01 09:00:00,58,OKAY,58,56
2018-10-01 10:00:00,56,OKAY,56,58
2018-10-01 11:00:00,60,OKAY,60,63
2018-10-01 12:00:00,59,OKAY,59,64
2018-10-01 13:00:00,66,OKAY,66,61
2018-10-01 14:00:00,67,OKAY,67,66
2018-10-01 15:00:00,75,OKAY,75,68
2018-10-01 16:00:00,63,OKAY,63,72
2018-10-01 17:00:00,71,OKAY,71,76
2018-10-01 18:00:00,76,OKAY,76,81
2018-10-01 19:00:00,68,OKAY,68,84
2018-10-01 20:00:00,80,OKAY,80,84
2018-10-01 21:00:00,93,OKAY,93,89
2018-10-01 22:00:00,82,OKAY,82,91
2018-10-01 23:00:00,92,OKAY,92,90
2018-10-02 00:00:00,65,OKAY,65,81
2018-10-02 01:00:00,85,OKAY,85,81
2018-10-02 02:00:00,75,OKAY,75,75
2018-10-02 03:00:00,69,OKAY,69,84
2018-10-02 04:00:00,59,OKAY,59,69
2018-10-02 05:00:00,60,OKAY,60,64
2018-10-02 06:00:00,54,OKAY,54,66
2018-10-02 07:00:00,57,OKAY,57,62
2018-10-02 08:00:00,56,OKAY,56,59
2018-10-02 09:00:00,53,OKAY,53,57
2018-10-02 10:00:00,64,OKAY,64,56
2018-10-02 11:00:00,55,OKAY,55,65
2018-10-02 12:00:00,58,OKAY,58,64
2018-10-02 13:00:00,60,OKAY,60,60
2018-10-02 14:00:00,70,OKAY,70,65
2018-10-02 15:00:00,72,OKAY,72,78
2018-10-02 16:00:00,76,OKAY,76,79
2018-10-02 17:00:00,88,OKAY,88,83
2018-10-02 18:00:00,85,OKAY,85,98
2018-10-02 19:00:00,97,OKAY,97,94
2018-10-02 20:00:00,110,OKAY,110,94
2018-10-02 21:00:00,99,OKAY,99,97
2018-10-02 22:00:00,102,OKAY,102,101
2018-10-02 23:00:00,91,OKAY,91,97
2018-10-03 00:00:00,90,OKAY,90,87
2018-10-03 01:00:00,88,OKAY,88,88
2018-10-03 02:00:00,80,OKAY,80,88
2018-10-03 03:00:00,87,OKAY,87,83
2018-10-03 04:00:00,75,OKAY,75,69
