date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,261,OKAY,261,261
2018-10-01 01:00:00,282,OKAY,282,282
2018-10-01 02:00:00,282,OKAY,282,282
2018-10-01 03:00:00,278,OKAY,278,278
2018-10-01 04:00:00,264,OKAY,264,264
2018-10-01 05:00:00,252,OKAY,252,252
2018-10-01 06:00:00,243,OKAY,243,243
2018-10-01 07:00:00,239,OKAY,239,239
2018-10-01 08:00:00,234,OKAY,234,234
2018-10-01 09:00:00,237,OKAY,237,237
2018-10-01 10:00:00,240,OKAY,240,240
2018-10-01 11:00:00,259,OKAY,259,259
2018-10-01 12:00:00,288,OKAY,288,288
2018-10-01 13:00:00,298,OKAY,298,298
2018-10-01 14:00:00,297,OKAY,297,297
2018-10-01 15:00:00,305,OKAY,305,305
2018-10-01 16:00:00,313,OKAY,313,313
2018-10-01 17:00:00,315,OKAY,315,315
2018-10-01 18:00:00,320,OKAY,320,320
2018-10-01 19:00:00,325,OKAY,325,325
2018-10-01 20:00:00,330,OKAY,330,330
2018-10-01 21:00:00,341,OKAY,341,341
2018-10-01 22:00:00,341,OKAY,341,341
2018-10-01 23:00:00,338,OKAY,338,338
2018-10-02 00:00:00,333,OKAY,333,333
2018-10-02 01:00:00,336,OKAY,336,336
2018-10-02 02:00:00,330,OKAY,330,330
2018-10-02 03:00:00,312,OKAY,312,312
2018-10-02 04:00:00,296,OKAY,296,296
2018-10-02 05:00:00,277,OKAY,277,277
2018-10-02 06:00:00,266,OKAY,266,266
2018-10-02 07:00:00,253,OKAY,253,253
2018-10-02 08:00:00,245,OKAY,245,245
2018-10-02 09:00:00,238,OKAY,238,238
2018-10-02 10:00:00,244,OKAY,244,244
2018-10-02 11:00:00,252,OKAY,252,252
2018-10-02 12:00:00,276,OKAY,276,276
2018-10-02 13:00:00,288,OKAY,288,288
2018-10-02 14:00:00,291,OKAY,291,291
2018-10-02 15:00:00,301,OKAY,301,301
2018-10-02 16:00:00,316,OKAY,316,316
2018-10-02 17:00:00,329,OKAY,329,329
2018-10-02 18:00:00,347,OKAY,347,347
2018-10-02 19:00:00,361,OKAY,361,361
2018-10-02 20:00:00,369,OKAY,369,369
2018-10-02 21:00:00,379,OKAY,379,379
2018-10-02 22:00:00,382,OKAY,382,382
2018-10-02 23:00:00,370,OKAY,370,370
2018-10-03 00:00:00,361,OKAY,361,361
2018-10-03 01:00:00,366,OKAY,366,366
2018-10-03 02:00:00,364,OKAY,364,364
2018-10-03 03:00:00,350,OKAY,350,350
2018-10-03 04:00:00,332,OKAY,332,332
2018-10-03 05:00:00,316,OKAY,316,316
2018-10-03 06:00:00,299,OKAY,299,299
2018-10-03 07:00:00,287,OKAY,287,287
2018-10-03 08:00:00,277,OKAY,277,277
2018-10-03 09:00:00,266,OKAY,266,266
2018-10-03 10:00:00,274,OKAY,274,274
2018-10-03 11:00:00,286,OKAY,286,286
2018-10-03 12:00:00,311,OKAY,311,311
2018-10-03 13:00:00,326,OKAY,326,326
2018-10-03 14:00:00,332,OKAY,332,332
2018-10-03 15:00:00,344,OKAY,344,344
2018-10-03 16:00:00,354,OKAY,354,354
2018-10-03 17:00:00,372,OKAY,372,372
2018-10-03 18:00:00,383,OKAY,383,383
2018-10-03 19:00:00,398,OKAY,398,398
2018-10-03 20:00:00,409,OKAY,409,409
2018-10-03 21:00:00,413,OKAY,413,413
2018-10-03 22:00:00,416,OKAY,416,416
2018-10-03 23:00:00,405,OKAY,405,405
2018-10-04 00:00:00,393,OKAY,393,393
2018-10-04 01:00:00,390,OKAY,390,390
2018-10-04 02:00:00,387,OKAY,387,387
2018-10-04 03:00:00,372,OKAY,372,372
2018-10-04 04:00:00,350,OKAY,350,350
2018-10-04 05:00:00,317,OKAY,317,317
2018-10-04 06:00:00,290,OKAY,290,290
2018-10-04 07:00:00,272,OKAY,272,272
2018-10-04 08:00:00,260,OKAY,260,260
2018-10-04 09:00:00,248,OKAY,248,248
2018-10-04 10:00:00,250,OKAY,250,250
2018-10-04 11:00:00,253,OKAY,253,253
2018-10-04 12:00:00,268,OKAY,268,268
2018-10-04 13:00:00,277,OKAY,277,277
2018-10-04 14:00:00,276,OKAY,276,276
2018-10-04 15:00:00,277,OKAY,277,277
2018-10-04 16:00:00,281,OKAY,281,281
2018-10-04 17:00:00,282,OKAY,282,282
2018-10-04 18:00:00,280,OKAY,280,280
2018-10-04 19:00:00,282,OKAY,282,282
2018-10-04 20:00:00,278,OKAY,278,278
2018-10-04 21:00:00,278,OKAY,278,278
2018-10-04 22:00:00,269,OKAY,269,269
2018-10-04 23:00:00,267,OKAY,267,267
2018-10-05 00:00:00,265,OKAY,265,265
