date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,1149,OKAY,1149,1149
2018-10-01 01:00:00,1135,OKAY,1135,1135
2018-10-01 02:00:00,1140,OKAY,1140,1140
2018-10-01 03:00:00,1103,OKAY,1103,1103
2018-10-01 04:00:00,1040,OKAY,1040,1040
2018-10-01 05:00:00,966,OKAY,966,966
2018-10-01 06:00:00,913,OKAY,913,913
2018-10-01 07:00:00,880,OKAY,880,880
2018-10-01 08:00:00,861,OKAY,861,861
2018-10-01 09:00:00,845,OKAY,845,845
2018-10-01 10:00:00,839,OKAY,839,839
2018-10-01 11:00:00,853,OKAY,853,853
2018-10-01 12:00:00,902,OKAY,902,902
2018-10-01 13:00:00,914,OKAY,914,914
2018-10-01 14:00:00,877,OKAY,877,877
2018-10-01 15:00:00,911,OKAY,911,911
2018-10-01 16:00:00,938,OKAY,938,938
2018-10-01 17:00:00,978,OKAY,978,978
2018-10-01 18:00:00,1016,OKAY,1016,1016
2018-10-01 19:00:00,1076,OKAY,1076,1076
2018-10-01 20:00:00,1161,OKAY,1161,1161
2018-10-01 21:00:00,1178,OKAY,1178,1178
2018-10-01 22:00:00,1211,OKAY,1211,1211
2018-10-01 23:00:00,1211,OKAY,1211,1211
2018-10-02 00:00:00,1183,OKAY,1183,1183
2018-10-02 01:00:00,1153,OKAY,1153,1153
2018-10-02 02:00:00,1127,OKAY,1127,1127
2018-10-02 03:00:00,1127,OKAY,1127,1127
2018-10-02 04:00:00,1134,OKAY,1134,1134
2018-10-02 05:00:00,1068,OKAY,1068,1068
2018-10-02 06:00:00,1031,OKAY,1031,1031
2018-10-02 07:00:00,1005,OKAY,1005,1005
2018-10-02 08:00:00,979,OKAY,979,979
2018-10-02 09:00:00,963,OKAY,963,963
2018-10-02 10:00:00,957,OKAY,957,957
2018-10-02 11:00:00,964,OKAY,964,964
2018-10-02 12:00:00,994,OKAY,994,994
2018-10-02 13:00:00,927,OKAY,927,927
2018-10-02 14:00:00,920,OKAY,920,920
2018-10-02 15:00:00,957,OKAY,957,957
2018-10-02 16:00:00,1000,OKAY,1000,1000
2018-10-02 17:00:00,1057,OKAY,1057,1057
2018-10-02 18:00:00,1119,OKAY,1119,1119
2018-10-02 19:00:00,1179,OKAY,1179,1179
2018-10-02 20:00:00,1194,OKAY,1194,1194
2018-10-02 21:00:00,1210,OKAY,1210,1210
2018-10-02 22:00:00,1217,OKAY,1217,1217
2018-10-02 23:00:00,1207,OKAY,1207,1207
2018-10-03 00:00:00,1171,OKAY,1171,1171
2018-10-03 01:00:00,1153,OKAY,1153,1153
2018-10-03 02:00:00,1161,OKAY,1161,1161
2018-10-03 03:00:00,1128,OKAY,1128,1128
2018-10-03 04:00:00,1077,OKAY,1077,1077
2018-10-03 05:00:00,1016,OKAY,1016,1016
2018-10-03 06:00:00,973,OKAY,973,973
2018-10-03 07:00:00,940,OKAY,940,940
2018-10-03 08:00:00,921,OKAY,921,921
2018-10-03 09:00:00,907,OKAY,907,907
2018-10-03 10:00:00,908,OKAY,908,908
2018-10-03 11:00:00,927,OKAY,927,927
2018-10-03 12:00:00,989,OKAY,989,989
2018-10-03 13:00:00,1017,OKAY,1017,1017
2018-10-03 14:00:00,1020,OKAY,1020,1020
2018-10-03 15:00:00,1058,OKAY,1058,1058
2018-10-03 16:00:00,1107,OKAY,1107,1107
2018-10-03 17:00:00,1157,OKAY,1157,1157
2018-10-03 18:00:00,1191,OKAY,1191,1191
2018-10-03 19:00:00,1234,OKAY,1234,1234
2018-10-03 20:00:00,1272,OKAY,1272,1272
2018-10-03 21:00:00,1307,OKAY,1307,1307
2018-10-03 22:00:00,1330,OKAY,1330,1330
2018-10-03 23:00:00,1320,OKAY,1320,1320
2018-10-04 00:00:00,1279,OKAY,1279,1279
2018-10-04 01:00:00,1263,OKAY,1263,1263
2018-10-04 02:00:00,1243,OKAY,1243,1243
2018-10-04 03:00:00,1200,OKAY,1200,1200
2018-10-04 04:00:00,1143,OKAY,1143,1143
2018-10-04 05:00:00,1072,OKAY,1072,1072
2018-10-04 06:00:00,1014,OKAY,1014,1014
2018-10-04 07:00:00,986,OKAY,986,986
2018-10-04 08:00:00,953,OKAY,953,953
2018-10-04 09:00:00,929,OKAY,929,929
2018-10-04 10:00:00,912,OKAY,912,912
2018-10-04 11:00:00,921,OKAY,921,921
2018-10-04 12:00:00,949,OKAY,949,949
2018-10-04 13:00:00,958,OKAY,958,958
2018-10-04 14:00:00,944,OKAY,944,944
2018-10-04 15:00:00,972,OKAY,972,972
2018-10-04 16:00:00,1013,OKAY,1013,1013
2018-10-04 17:00:00,1059,OKAY,1059,1059
2018-10-04 18:00:00,1109,OKAY,1109,1109
2018-10-04 19:00:00,1151,OKAY,1151,1151
2018-10-04 20:00:00,1187,OKAY,1187,1187
2018-10-04 21:00:00,1204,OKAY,1204,1204
2018-10-04 22:00:00,1215,OKAY,1215,1215
2018-10-04 23:00:00,1186,OKAY,1186,1186
2018-10-05 00:00:00,1153,OKAY,1153,1153
2018-10-05 01:00:00,1143,OKAY,1143,1143
2018-10-05 02:00:00,1126,OKAY,1126,1126
2018-10-05 03:00:00,1078,OKAY,1078,1078
2018-10-05 04:00:00,1014,OKAY,1014,1014
