date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,3761,OKAY,3761,3761
2018-10-01 01:00:00,3772,OKAY,3772,3772
2018-10-01 02:00:00,3698,OKAY,3698,3698
2018-10-01 03:00:00,3485,OKAY,3485,3485
2018-10-01 04:00:00,3249,OKAY,3249,3249
2018-10-01 05:00:00,3012,OKAY,3012,3012
2018-10-01 06:00:00,2859,OKAY,2859,2859
2018-10-01 07:00:00,2760,OKAY,2760,2760
2018-10-01 08:00:00,2706,OKAY,2706,2706
2018-10-01 09:00:00,2699,OKAY,2699,2699
2018-10-01 10:00:00,2764,OKAY,2764,2764
2018-10-01 11:00:00,2932,OKAY,2932,2932
2018-10-01 12:00:00,3251,OKAY,3251,3251
2018-10-01 13:00:00,3473,OKAY,3473,3473
2018-10-01 14:00:00,3546,OKAY,3546,3546
2018-10-01 15:00:00,3666,OKAY,3666,3666
2018-10-01 16:00:00,3788,OKAY,3788,3788
2018-10-01 17:00:00,3908,OKAY,3908,3908
2018-10-01 18:00:00,4008,OKAY,4008,4008
2018-10-01 19:00:00,4126,OKAY,4126,4126
2018-10-01 20:00:00,4229,OKAY,4229,4229
2018-10-01 21:00:00,4314,OKAY,4314,4314
2018-10-01 22:00:00,4351,OKAY,4351,4351
2018-10-01 23:00:00,4327,OKAY,4327,4327
2018-10-02 00:00:00,4211,OKAY,4211,4211
2018-10-02 01:00:00,4143,OKAY,4143,4143
2018-10-02 02:00:00,4009,OKAY,4009,4009
2018-10-02 03:00:00,3785,OKAY,3785,3785
2018-10-02 04:00:00,3520,OKAY,3520,3520
2018-10-02 05:00:00,3233,OKAY,3233,3233
2018-10-02 06:00:00,3010,OKAY,3010,3010
2018-10-02 07:00:00,2891,OKAY,2891,2891
2018-10-02 08:00:00,2823,OKAY,2823,2823
2018-10-02 09:00:00,2778,OKAY,2778,2778
2018-10-02 10:00:00,2815,OKAY,2815,2815
2018-10-02 11:00:00,2971,OKAY,2971,2971
2018-10-02 12:00:00,3285,OKAY,3285,3285
2018-10-02 13:00:00,3453,OKAY,3453,3453
2018-10-02 14:00:00,3555,OKAY,3555,3555
2018-10-02 15:00:00,3702,OKAY,3702,3702
2018-10-02 16:00:00,3892,OKAY,3892,3892
2018-10-02 17:00:00,4164,OKAY,4164,4164
2018-10-02 18:00:00,4414,OKAY,4414,4414
2018-10-02 19:00:00,4622,OKAY,4622,4622
2018-10-02 20:00:00,4773,OKAY,4773,4773
2018-10-02 21:00:00,4842,OKAY,4842,4842
2018-10-02 22:00:00,4889,OKAY,4889,4889
2018-10-02 23:00:00,4801,OKAY,4801,4801
2018-10-03 00:00:00,4672,OKAY,4672,4672
2018-10-03 01:00:00,4634,OKAY,4634,4634
2018-10-03 02:00:00,4516,OKAY,4516,4516
2018-10-03 03:00:00,4281,OKAY,4281,4281
2018-10-03 04:00:00,3976,OKAY,3976,3976
2018-10-03 05:00:00,3681,OKAY,3681,3681
2018-10-03 06:00:00,3472,OKAY,3472,3472
2018-10-03 07:00:00,3326,OKAY,3326,3326
2018-10-03 08:00:00,3229,OKAY,3229,3229
2018-10-03 09:00:00,3184,OKAY,3184,3184
2018-10-03 10:00:00,3216,OKAY,3216,3216
2018-10-03 11:00:00,3406,OKAY,3406,3406
2018-10-03 12:00:00,3758,OKAY,3758,3758
2018-10-03 13:00:00,3954,OKAY,3954,3954
2018-10-03 14:00:00,4071,OKAY,4071,4071
2018-10-03 15:00:00,4257,OKAY,4257,4257
2018-10-03 16:00:00,4489,OKAY,4489,4489
2018-10-03 17:00:00,4754,OKAY,4754,4754
2018-10-03 18:00:00,4981,OKAY,4981,4981
2018-10-03 19:00:00,5212,OKAY,5212,5212
2018-10-03 20:00:00,5362,OKAY,5362,5362
2018-10-03 21:00:00,5440,OKAY,5440,5440
2018-10-03 22:00:00,5502,OKAY,5502,5502
2018-10-03 23:00:00,5405,OKAY,5405,5405
2018-10-04 00:00:00,5216,OKAY,5216,5216
2018-10-04 01:00:00,5106,OKAY,5106,5106
2018-10-04 02:00:00,4917,OKAY,4917,4917
2018-10-04 03:00:00,4615,OKAY,4615,4615
2018-10-04 04:00:00,4188,OKAY,4188,4188
2018-10-04 05:00:00,3787,OKAY,3787,3787
2018-10-04 06:00:00,3474,OKAY,3474,3474
2018-10-04 07:00:00,3256,OKAY,3256,3256
