date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,489,OKAY,489,475
2018-10-01 01:00:00,494,OKAY,494,478
2018-10-01 02:00:00,520,OKAY,520,483
2018-10-01 03:00:00,523,OKAY,523,505
2018-10-01 04:00:00,506,OKAY,506,504
2018-10-01 05:00:00,473,OKAY,473,475
2018-10-01 06:00:00,430,OKAY,430,435
2018-10-01 07:00:00,411,OKAY,411,401
2018-10-01 08:00:00,372,OKAY,372,388
2018-10-01 09:00:00,361,OKAY,361,373
2018-10-01 10:00:00,360,OKAY,360,368
2018-10-01 11:00:00,360,OKAY,360,369
2018-10-01 12:00:00,383,OKAY,383,383
2018-10-01 13:00:00,418,OKAY,418,424
2018-10-01 14:00:00,483,OKAY,483,479
2018-10-01 15:00:00,507,OKAY,507,505
2018-10-01 16:00:00,517,OKAY,517,515
2018-10-01 17:00:00,513,OKAY,513,518
2018-10-01 18:00:00,529,OKAY,529,526
2018-10-01 19:00:00,528,OKAY,528,528
2018-10-01 20:00:00,528,OKAY,528,531
2018-10-01 21:00:00,526,OKAY,526,529
2018-10-01 22:00:00,524,OKAY,524,523
2018-10-01 23:00:00,520,OKAY,520,521
2018-10-02 00:00:00,527,OKAY,527,522
2018-10-02 01:00:00,541,OKAY,541,525
2018-10-02 02:00:00,553,OKAY,553,529
2018-10-02 03:00:00,562,OKAY,562,546
2018-10-02 04:00:00,542,OKAY,542,537
2018-10-02 05:00:00,505,OKAY,505,502
2018-10-02 06:00:00,463,OKAY,463,459
2018-10-02 07:00:00,429,OKAY,429,422
2018-10-02 08:00:00,405,OKAY,405,405
2018-10-02 09:00:00,390,OKAY,390,392
2018-10-02 10:00:00,380,OKAY,380,385
2018-10-02 11:00:00,390,OKAY,390,388
2018-10-02 12:00:00,401,OKAY,401,401
2018-10-02 13:00:00,447,OKAY,447,445
2018-10-02 14:00:00,500,OKAY,500,502
2018-10-02 15:00:00,533,OKAY,533,529
2018-10-02 16:00:00,536,OKAY,536,534
2018-10-02 17:00:00,532,OKAY,532,537
2018-10-02 18:00:00,536,OKAY,536,537
2018-10-02 19:00:00,538,OKAY,538,536
2018-10-02 20:00:00,532,OKAY,532,535
2018-10-02 21:00:00,535,OKAY,535,532
2018-10-02 22:00:00,532,OKAY,532,525
2018-10-02 23:00:00,526,OKAY,526,523
2018-10-03 00:00:00,529,OKAY,529,524
2018-10-03 01:00:00,543,OKAY,543,532
2018-10-03 02:00:00,549,OKAY,549,549
2018-10-03 03:00:00,580,OKAY,580,566
2018-10-03 04:00:00,569,OKAY,569,562
2018-10-03 05:00:00,531,OKAY,531,530
2018-10-03 06:00:00,487,OKAY,487,486
2018-10-03 07:00:00,452,OKAY,452,453
2018-10-03 08:00:00,435,OKAY,435,438
2018-10-03 09:00:00,432,OKAY,432,428
2018-10-03 10:00:00,425,OKAY,425,423
2018-10-03 11:00:00,440,OKAY,440,431
2018-10-03 12:00:00,455,OKAY,455,454
2018-10-03 13:00:00,525,OKAY,525,507
2018-10-03 14:00:00,584,OKAY,584,573
2018-10-03 15:00:00,616,OKAY,616,603
2018-10-03 16:00:00,614,OKAY,614,602
2018-10-03 17:00:00,596,OKAY,596,583
2018-10-03 18:00:00,569,OKAY,569,573
2018-10-03 19:00:00,568,OKAY,568,560
2018-10-03 20:00:00,558,OKAY,558,552
2018-10-03 21:00:00,537,OKAY,537,545
2018-10-03 22:00:00,521,OKAY,521,537
2018-10-03 23:00:00,540,OKAY,540,533
2018-10-04 00:00:00,532,OKAY,532,536
2018-10-04 01:00:00,562,OKAY,562,543
2018-10-04 02:00:00,578,OKAY,578,552
2018-10-04 03:00:00,601,OKAY,601,570
2018-10-04 04:00:00,586,OKAY,586,568
2018-10-04 05:00:00,558,OKAY,558,542
2018-10-04 06:00:00,515,OKAY,515,500
2018-10-04 07:00:00,464,OKAY,464,463
2018-10-04 08:00:00,446,OKAY,446,439
2018-10-04 09:00:00,440,OKAY,440,425
2018-10-04 10:00:00,433,OKAY,433,425
2018-10-04 11:00:00,442,OKAY,442,433
2018-10-04 12:00:00,459,OKAY,459,461
2018-10-04 13:00:00,506,OKAY,506,521
2018-10-04 14:00:00,575,OKAY,575,583
2018-10-04 15:00:00,617,OKAY,617,616
2018-10-04 16:00:00,609,OKAY,609,607
2018-10-04 17:00:00,595,OKAY,595,590
2018-10-04 18:00:00,581,OKAY,581,577
2018-10-04 19:00:00,576,OKAY,576,558
2018-10-04 20:00:00,561,OKAY,561,551
2018-10-04 21:00:00,549,OKAY,549,545
2018-10-04 22:00:00,538,OKAY,538,535
2018-10-04 23:00:00,535,OKAY,535,528
2018-10-05 00:00:00,533,OKAY,533,530
2018-10-05 01:00:00,532,OKAY,532,536
2018-10-05 02:00:00,555,OKAY,555,547
2018-10-05 03:00:00,594,OKAY,594,568
2018-10-05 04:00:00,573,OKAY,573,567
2018-10-05 05:00:00,540,OKAY,540,542
2018-10-05 06:00:00,505,OKAY,505,498
2018-10-05 07:00:00,473,OKAY,473,462
2018-10-05 08:00:00,453,OKAY,453,449
2018-10-05 09:00:00,437,OKAY,437,438
2018-10-05 10:00:00,444,OKAY,444,433
2018-10-05 11:00:00,444,OKAY,444,439
2018-10-05 12:00:00,462,OKAY,462,462
2018-10-05 13:00:00,508,OKAY,508,509
2018-10-05 14:00:00,568,OKAY,568,574
2018-10-05 15:00:00,603,OKAY,603,606
2018-10-05 16:00:00,591,OKAY,591,604
2018-10-05 17:00:00,599,OKAY,599,594
2018-10-05 18:00:00,608,OKAY,608,588
2018-10-05 19:00:00,602,OKAY,602,584
2018-10-05 20:00:00,597,OKAY,597,579
2018-10-05 21:00:00,584,OKAY,584,574
2018-10-05 22:00:00,585,OKAY,585,564
2018-10-05 23:00:00,585,OKAY,585,564
2018-10-06 00:00:00,590,OKAY,590,567
2018-10-06 01:00:00,594,OKAY,594,569
2018-10-06 02:00:00,601,OKAY,601,576
2018-10-06 03:00:00,610,OKAY,610,588
2018-10-06 04:00:00,586,OKAY,586,582
2018-10-06 05:00:00,563,OKAY,563,556
2018-10-06 06:00:00,528,OKAY,528,521
2018-10-06 07:00:00,484,OKAY,484,487
2018-10-06 08:00:00,452,OKAY,452,447
2018-10-06 09:00:00,439,OKAY,439,435
2018-10-06 10:00:00,423,OKAY,423,422
2018-10-06 11:00:00,426,OKAY,426,423
2018-10-06 12:00:00,425,OKAY,425,429
2018-10-06 13:00:00,440,OKAY,440,448
2018-10-06 14:00:00,471,OKAY,471,474
2018-10-06 15:00:00,494,OKAY,494,507
2018-10-06 16:00:00,521,OKAY,521,533
2018-10-06 17:00:00,540,OKAY,540,542
2018-10-06 18:00:00,529,OKAY,529,540
2018-10-06 19:00:00,527,OKAY,527,529
2018-10-06 20:00:00,516,OKAY,516,515
2018-10-06 21:00:00,497,OKAY,497,501
2018-10-06 22:00:00,491,OKAY,491,488
2018-10-06 23:00:00,483,OKAY,483,482
2018-10-07 00:00:00,477,OKAY,477,481
2018-10-07 01:00:00,481,OKAY,481,489
2018-10-07 02:00:00,499,OKAY,499,498
2018-10-07 03:00:00,515,OKAY,515,521
2018-10-07 04:00:00,515,OKAY,515,525
2018-10-07 05:00:00,489,OKAY,489,508
2018-10-07 06:00:00,482,OKAY,482,481
2018-10-07 07:00:00,457,OKAY,457,457
2018-10-07 08:00:00,437,OKAY,437,448
2018-10-07 09:00:00,419,OKAY,419,437
2018-10-07 10:00:00,411,OKAY,411,431
2018-10-07 11:00:00,416,OKAY,416,429
2018-10-07 12:00:00,422,OKAY,422,437
2018-10-07 13:00:00,433,OKAY,433,453
2018-10-07 14:00:00,460,OKAY,460,481
2018-10-07 15:00:00,490,OKAY,490,511
2018-10-07 16:00:00,518,OKAY,518,536
2018-10-07 17:00:00,546,OKAY,546,548
2018-10-07 18:00:00,546,OKAY,546,547
2018-10-07 19:00:00,538,OKAY,538,536
2018-10-07 20:00:00,537,OKAY,537,525
2018-10-07 21:00:00,523,OKAY,523,514
2018-10-07 22:00:00,519,OKAY,519,504
2018-10-07 23:00:00,508,OKAY,508,499
2018-10-08 00:00:00,511,OKAY,511,503
2018-10-08 01:00:00,533,OKAY,533,511
2018-10-08 02:00:00,548,OKAY,548,520
2018-10-08 03:00:00,567,OKAY,567,537
2018-10-08 04:00:00,544,OKAY,544,540
2018-10-08 05:00:00,520,OKAY,520,518
2018-10-08 06:00:00,473,OKAY,473,485
2018-10-08 07:00:00,437,OKAY,437,449
2018-10-08 08:00:00,418,OKAY,418,421
2018-10-08 09:00:00,399,OKAY,399,410
2018-10-08 10:00:00,392,OKAY,392,407
2018-10-08 11:00:00,400,OKAY,400,414
2018-10-08 12:00:00,419,OKAY,419,434
2018-10-08 13:00:00,460,OKAY,460,486
2018-10-08 14:00:00,522,OKAY,522,548
2018-10-08 15:00:00,551,OKAY,551,580
2018-10-08 16:00:00,569,OKAY,569,582
2018-10-08 17:00:00,566,OKAY,566,572
2018-10-08 18:00:00,562,OKAY,562,568
2018-10-08 19:00:00,564,OKAY,564,566
2018-10-08 20:00:00,558,OKAY,558,561
2018-10-08 21:00:00,547,OKAY,547,558
2018-10-08 22:00:00,553,OKAY,553,549
