date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2018-10-01 00:00:00,1399,OKAY,1399,1496
2018-10-01 01:00:00,1357,OKAY,1357,1503
2018-10-01 02:00:00,1348,OKAY,1348,1450
2018-10-01 03:00:00,1296,OKAY,1296,1400
2018-10-01 04:00:00,1259,OKAY,1259,1340
2018-10-01 05:00:00,1196,OKAY,1196,1276
2018-10-01 06:00:00,1151,OKAY,1151,1197
2018-10-01 07:00:00,1100,OKAY,1100,1124
2018-10-01 08:00:00,1111,OKAY,1111,1138
2018-10-01 09:00:00,1090,OKAY,1090,1106
2018-10-01 10:00:00,1064,OKAY,1064,1095
2018-10-01 11:00:00,1063,OKAY,1063,1085
2018-10-01 12:00:00,1078,OKAY,1078,1101
2018-10-01 13:00:00,1111,OKAY,1111,1138
2018-10-01 14:00:00,1089,OKAY,1089,1137
2018-10-01 15:00:00,1097,OKAY,1097,1164
2018-10-01 16:00:00,1137,OKAY,1137,1198
2018-10-01 17:00:00,1184,OKAY,1184,1283
2018-10-01 18:00:00,1217,OKAY,1217,1359
2018-10-01 19:00:00,1241,OKAY,1241,1435
2018-10-01 20:00:00,1254,OKAY,1254,1490
2018-10-01 21:00:00,1265,OKAY,1265,1552
2018-10-01 22:00:00,1274,OKAY,1274,1591
2018-10-01 23:00:00,1257,OKAY,1257,1583
2018-10-02 00:00:00,1221,OKAY,1221,1571
2018-10-02 01:00:00,1226,OKAY,1226,1582
2018-10-02 02:00:00,1248,OKAY,1248,1541
2018-10-02 03:00:00,1234,OKAY,1234,1489
2018-10-02 04:00:00,1194,OKAY,1194,1414
2018-10-02 05:00:00,1159,OKAY,1159,1335
2018-10-02 06:00:00,1165,OKAY,1165,1260
2018-10-02 07:00:00,1118,OKAY,1118,1175
2018-10-02 08:00:00,1097,OKAY,1097,1175
2018-10-02 09:00:00,1077,OKAY,1077,1144
2018-10-02 10:00:00,1063,OKAY,1063,1114
2018-10-02 11:00:00,1060,OKAY,1060,1088
2018-10-02 12:00:00,1068,OKAY,1068,1088
2018-10-02 13:00:00,1106,OKAY,1106,1134
2018-10-02 14:00:00,1095,OKAY,1095,1120
2018-10-02 15:00:00,1088,OKAY,1088,1127
2018-10-02 16:00:00,1138,OKAY,1138,1139
2018-10-02 17:00:00,1164,OKAY,1164,1238
2018-10-02 18:00:00,1178,OKAY,1178,1317
2018-10-02 19:00:00,1222,OKAY,1222,1385
2018-10-02 20:00:00,1232,OKAY,1232,1441
2018-10-02 21:00:00,1192,OKAY,1192,1502
2018-10-02 22:00:00,1184,OKAY,1184,1552
2018-10-02 23:00:00,1122,OKAY,1122,1546
2018-10-03 00:00:00,1142,OKAY,1142,1555
2018-10-03 01:00:00,1153,OKAY,1153,1567
2018-10-03 02:00:00,1154,OKAY,1154,1521
2018-10-03 03:00:00,1134,OKAY,1134,1477
2018-10-03 04:00:00,1100,OKAY,1100,1418
2018-10-03 05:00:00,1058,OKAY,1058,1327
2018-10-03 06:00:00,921,OKAY,921,1239
2018-10-03 07:00:00,929,OKAY,929,1187
2018-10-03 08:00:00,891,OKAY,891,1178
2018-10-03 09:00:00,870,OKAY,870,1157
2018-10-03 10:00:00,870,OKAY,870,1123
2018-10-03 11:00:00,851,OKAY,851,1104
2018-10-03 12:00:00,867,OKAY,867,1117
2018-10-03 13:00:00,898,OKAY,898,1134
2018-10-03 14:00:00,933,OKAY,933,1116
2018-10-03 15:00:00,935,OKAY,935,1110
2018-10-03 16:00:00,957,OKAY,957,1168
2018-10-03 17:00:00,980,OKAY,980,1241
2018-10-03 18:00:00,1015,OKAY,1015,1309
2018-10-03 19:00:00,1068,OKAY,1068,1390
2018-10-03 20:00:00,1214,OKAY,1214,1484
2018-10-03 21:00:00,1281,OKAY,1281,1543
2018-10-03 22:00:00,1297,OKAY,1297,1592
2018-10-03 23:00:00,1333,OKAY,1333,1586
2018-10-04 00:00:00,1314,OKAY,1314,1613
2018-10-04 01:00:00,1335,OKAY,1335,1618
2018-10-04 02:00:00,1292,OKAY,1292,1574
2018-10-04 03:00:00,1266,OKAY,1266,1504
2018-10-04 04:00:00,1235,OKAY,1235,1420
2018-10-04 05:00:00,1193,OKAY,1193,1352
2018-10-04 06:00:00,1121,OKAY,1121,1260
2018-10-04 07:00:00,1062,OKAY,1062,1187
2018-10-04 08:00:00,1081,OKAY,1081,1171
2018-10-04 09:00:00,1055,OKAY,1055,1126
2018-10-04 10:00:00,1044,OKAY,1044,1093
2018-10-04 11:00:00,1031,OKAY,1031,1085
2018-10-04 12:00:00,1038,OKAY,1038,1099
2018-10-04 13:00:00,1068,OKAY,1068,1125
2018-10-04 14:00:00,1046,OKAY,1046,1122
2018-10-04 15:00:00,1048,OKAY,1048,1125
