date_time,raw demand (MW),cleaned demand (MW)
2020-01-01 00:00:00,332417,332417
2020-01-01 01:00:00,327444,327420
2020-01-01 02:00:00,318872,318818
2020-01-01 03:00:00,310620,310572
2020-01-01 04:00:00,301277,301238
2020-01-01 05:00:00,293334,293306
2020-01-01 06:00:00,290595,286052
2020-01-01 07:00:00,286081,286053
2020-01-01 08:00:00,282348,282326
2020-01-01 09:00:00,280298,280295
2020-01-01 10:00:00,281141,281139
2020-01-01 11:00:00,285195,285192
2020-01-01 12:00:00,292630,292628
2020-01-01 13:00:00,300371,300371
2020-01-01 14:00:00,305433,305433
2020-01-01 15:00:00,306878,306878
2020-01-01 16:00:00,305511,305511
2020-01-01 17:00:00,303121,303121
2020-01-01 18:00:00,299779,299779
2020-01-01 19:00:00,294887,294887
2020-01-01 20:00:00,290957,290957
2020-01-01 21:00:00,290452,290452
2020-01-01 22:00:00,296737,296737
2020-01-01 23:00:00,312637,312637
2020-01-02 00:00:00,325888,325888
2020-01-02 01:00:00,326428,326428
2020-01-02 02:00:00,322606,322606
2020-01-02 03:00:00,315297,315297
2020-01-02 04:00:00,303286,303286
2020-01-02 05:00:00,291010,291010
2020-01-02 06:00:00,281355,281355
2020-01-02 07:00:00,275470,275470
2020-01-02 08:00:00,272980,272980
2020-01-02 09:00:00,272735,272735
2020-01-02 10:00:00,276298,276298
2020-01-02 11:00:00,287954,287954
2020-01-02 12:00:00,309744,309744
2020-01-02 13:00:00,329037,329037
2020-01-02 14:00:00,336173,336173
2020-01-02 15:00:00,335365,335365
2020-01-02 16:00:00,333444,333444
2020-01-02 17:00:00,330632,330632
2020-01-02 18:00:00,328032,328033
2020-01-02 19:00:00,326891,326891
2020-01-02 20:00:00,326467,326467
2020-01-02 21:00:00,326011,326011
2020-01-02 22:00:00,330125,330125
2020-01-02 23:00:00,341348,341348
2020-01-03 00:00:00,347671,347671
2020-01-03 01:00:00,343528,343528
2020-01-03 02:00:00,335402,335402
2020-01-03 03:00:00,323566,323566
2020-01-03 04:00:00,307011,307011
2020-01-03 05:00:00,290245,290245
2020-01-03 06:00:00,276715,276715
2020-01-03 07:00:00,268086,268086
2020-01-03 08:00:00,262650,262650
2020-01-03 09:00:00,260303,260303
2020-01-03 10:00:00,262318,262318
2020-01-03 11:00:00,272161,272161
2020-01-03 12:00:00,290890,290890
2020-01-03 13:00:00,308607,308607
2020-01-03 14:00:00,318881,318881
2020-01-03 15:00:00,323886,323886
2020-01-03 16:00:00,327681,327681
2020-01-03 17:00:00,329184,329184
2020-01-03 18:00:00,329078,329078
2020-01-03 19:00:00,328833,328833
2020-01-03 20:00:00,327717,327717
2020-01-03 21:00:00,325996,325996
2020-01-03 22:00:00,327510,327510
2020-01-03 23:00:00,333182,333182
2020-01-04 00:00:00,336531,336531
2020-01-04 01:00:00,332018,332018
2020-01-04 02:00:00,324260,324260
2020-01-04 03:00:00,314777,314777
2020-01-04 04:00:00,301925,301925
2020-01-04 05:00:00,287294,287293
2020-01-04 06:00:00,273675,273675
2020-01-04 07:00:00,265098,265098
2020-01-04 08:00:00,259699,259699
2020-01-04 09:00:00,257382,257382
2020-01-04 10:00:00,257735,257735
2020-01-04 11:00:00,261351,261351
2020-01-04 12:00:00,269871,269870
2020-01-04 13:00:00,281060,281060
2020-01-04 14:00:00,293774,293774
2020-01-04 15:00:00,304996,304996
2020-01-04 16:00:00,312428,312428
2020-01-04 17:00:00,314610,314610
2020-01-04 18:00:00,313415,313415
2020-01-04 19:00:00,310284,310284
2020-01-04 20:00:00,306773,306773
2020-01-04 21:00:00,305557,305557
2020-01-04 22:00:00,309109,309109
2020-01-04 23:00:00,319715,319715
2020-01-05 00:00:00,329255,329255
2020-01-05 01:00:00,325048,325048
2020-01-05 02:00:00,320236,320236
2020-01-05 03:00:00,316629,316629
2020-01-05 04:00:00,307721,307721
2020-01-05 05:00:00,294544,298123
2020-01-05 06:00:00,289657,289657
2020-01-05 07:00:00,283166,283166
2020-01-05 08:00:00,279974,279974
2020-01-05 09:00:00,279164,279164
2020-01-05 10:00:00,281187,281187
2020-01-05 11:00:00,286614,286614
