date_time,demand (MW)
2020-01-01 00:00:00,10763
2020-01-01 01:00:00,11036
2020-01-01 02:00:00,10826
2020-01-01 03:00:00,10546
2020-01-01 04:00:00,10274
2020-01-01 05:00:00,9972
2020-01-01 06:00:00,9689
2020-01-01 07:00:00,9452
2020-01-01 08:00:00,9332
2020-01-01 09:00:00,9183
2020-01-01 10:00:00,9086
2020-01-01 11:00:00,9109
2020-01-01 12:00:00,9208
2020-01-01 13:00:00,9326
2020-01-01 14:00:00,9369
2020-01-01 15:00:00,9455
2020-01-01 16:00:00,9704
2020-01-01 17:00:00,9987
2020-01-01 18:00:00,10183
2020-01-01 19:00:00,10216
2020-01-01 20:00:00,10156
2020-01-01 21:00:00,10083
2020-01-01 22:00:00,10040
2020-01-01 23:00:00,10053
2020-01-02 00:00:00,10423
2020-01-02 01:00:00,10569
2020-01-02 02:00:00,10467
2020-01-02 03:00:00,10335
2020-01-02 04:00:00,10071
2020-01-02 05:00:00,9665
2020-01-02 06:00:00,9221
2020-01-02 07:00:00,8853
2020-01-02 08:00:00,8602
2020-01-02 09:00:00,8473
2020-01-02 10:00:00,8426
2020-01-02 11:00:00,8574
2020-01-02 12:00:00,8985
2020-01-02 13:00:00,9500
2020-01-02 14:00:00,9914
2020-01-02 15:00:00,10130
2020-01-02 16:00:00,10367
2020-01-02 17:00:00,10587
2020-01-02 18:00:00,10726
2020-01-02 19:00:00,10747
2020-01-02 20:00:00,10802
2020-01-02 21:00:00,10745
2020-01-02 22:00:00,10643
2020-01-02 23:00:00,10616
2020-01-03 00:00:00,10862
2020-01-03 01:00:00,10918
2020-01-03 02:00:00,10727
2020-01-03 03:00:00,10508
2020-01-03 04:00:00,10198
2020-01-03 05:00:00,9754
2020-01-03 06:00:00,9309
2020-01-03 07:00:00,8967
2020-01-03 08:00:00,8719
2020-01-03 09:00:00,8617
2020-01-03 10:00:00,8599
2020-01-03 11:00:00,8748
2020-01-03 12:00:00,9158
2020-01-03 13:00:00,9688
2020-01-03 14:00:00,10019
2020-01-03 15:00:00,10213
2020-01-03 16:00:00,10382
2020-01-03 17:00:00,10517
2020-01-03 18:00:00,10583
2020-01-03 19:00:00,10586
2020-01-03 20:00:00,10564
2020-01-03 21:00:00,10548
2020-01-03 22:00:00,10480
2020-01-03 23:00:00,10440
2020-01-04 00:00:00,10572
2020-01-04 01:00:00,10775
2020-01-04 02:00:00,10613
2020-01-04 03:00:00,10459
2020-01-04 04:00:00,10273
2020-01-04 05:00:00,9941
2020-01-04 06:00:00,9576
2020-01-04 07:00:00,9252
2020-01-04 08:00:00,9080
2020-01-04 09:00:00,9034
2020-01-04 10:00:00,9036
2020-01-04 11:00:00,9181
2020-01-04 12:00:00,9486
2020-01-04 13:00:00,9878
2020-01-04 14:00:00,10220
2020-01-04 15:00:00,10427
2020-01-04 16:00:00,10477
2020-01-04 17:00:00,10400
2020-01-04 18:00:00,10278
2020-01-04 19:00:00,10118
2020-01-04 20:00:00,9969
2020-01-04 21:00:00,9863
2020-01-04 22:00:00,9799
2020-01-04 23:00:00,9723
2020-01-05 00:00:00,9900
2020-01-05 01:00:00,10244
2020-01-05 02:00:00,10296
2020-01-05 03:00:00,10291
2020-01-05 04:00:00,10203
2020-01-05 05:00:00,9961
2020-01-05 06:00:00,9672
