date_time,demand (MW)
2020-01-01 00:00:00,3616
2020-01-01 01:00:00,3814
2020-01-01 02:00:00,3899
2020-01-01 03:00:00,3847
2020-01-01 04:00:00,3728
2020-01-01 05:00:00,3664
2020-01-01 06:00:00,3608
2020-01-01 07:00:00,3611
2020-01-01 08:00:00,3622
2020-01-01 09:00:00,3574
2020-01-01 10:00:00,3637
2020-01-01 11:00:00,3671
2020-01-01 12:00:00,3699
2020-01-01 13:00:00,3692
2020-01-01 14:00:00,3702
2020-01-01 15:00:00,3688
2020-01-01 16:00:00,3703
2020-01-01 17:00:00,3705
2020-01-01 18:00:00,3670
2020-01-01 19:00:00,3619
2020-01-01 20:00:00,3615
2020-01-01 21:00:00,3608
2020-01-01 22:00:00,3582
2020-01-01 23:00:00,3603
2020-01-02 00:00:00,3634
2020-01-02 01:00:00,3758
2020-01-02 02:00:00,3797
2020-01-02 03:00:00,3800
2020-01-02 04:00:00,3791
2020-01-02 05:00:00,3762
2020-01-02 06:00:00,3739
2020-01-02 07:00:00,3712
2020-01-02 08:00:00,3707
2020-01-02 09:00:00,3742
2020-01-02 10:00:00,3746
2020-01-02 11:00:00,3769
2020-01-02 12:00:00,3785
2020-01-02 13:00:00,3834
2020-01-02 14:00:00,3938
2020-01-02 15:00:00,3901
2020-01-02 16:00:00,3834
2020-01-02 17:00:00,3817
2020-01-02 18:00:00,3825
2020-01-02 19:00:00,3775
2020-01-02 20:00:00,3838
2020-01-02 21:00:00,3860
2020-01-02 22:00:00,3821
2020-01-02 23:00:00,3785
2020-01-03 00:00:00,3804
2020-01-03 01:00:00,3811
2020-01-03 02:00:00,3757
2020-01-03 03:00:00,3718
2020-01-03 04:00:00,3691
2020-01-03 05:00:00,3702
2020-01-03 06:00:00,3671
2020-01-03 07:00:00,3634
2020-01-03 08:00:00,3684
2020-01-03 09:00:00,3715
2020-01-03 10:00:00,3644
2020-01-03 11:00:00,3709
2020-01-03 12:00:00,3749
2020-01-03 13:00:00,3753
2020-01-03 14:00:00,3772
2020-01-03 15:00:00,3831
2020-01-03 16:00:00,3874
2020-01-03 17:00:00,3926
2020-01-03 18:00:00,3856
2020-01-03 19:00:00,3773
2020-01-03 20:00:00,3770
2020-01-03 21:00:00,3761
2020-01-03 22:00:00,3759
2020-01-03 23:00:00,3725
2020-01-04 00:00:00,3746
2020-01-04 01:00:00,3833
2020-01-04 02:00:00,3881
2020-01-04 03:00:00,3883
2020-01-04 04:00:00,3799
2020-01-04 05:00:00,3718
2020-01-04 06:00:00,3721
2020-01-04 07:00:00,3732
2020-01-04 08:00:00,3712
2020-01-04 09:00:00,3693
2020-01-04 10:00:00,3669
2020-01-04 11:00:00,3668
2020-01-04 12:00:00,3715
2020-01-04 13:00:00,3753
2020-01-04 14:00:00,3807
2020-01-04 15:00:00,3812
2020-01-04 16:00:00,3772
2020-01-04 17:00:00,3704
2020-01-04 18:00:00,3629
2020-01-04 19:00:00,3583
2020-01-04 20:00:00,3483
2020-01-04 21:00:00,3468
2020-01-04 22:00:00,3456
2020-01-04 23:00:00,3428
2020-01-05 00:00:00,3457
2020-01-05 01:00:00,3512
2020-01-05 02:00:00,3540
2020-01-05 03:00:00,3612
2020-01-05 04:00:00,3705
2020-01-05 05:00:00,3769
2020-01-05 06:00:00,3747
2020-01-05 07:00:00,3781
2020-01-05 08:00:00,3782
2020-01-05 09:00:00,3773
2020-01-05 10:00:00,3744
2020-01-05 11:00:00,3730
2020-01-05 12:00:00,3737
2020-01-05 13:00:00,3783
2020-01-05 14:00:00,3757
2020-01-05 15:00:00,3726
2020-01-05 16:00:00,3680
2020-01-05 17:00:00,3606
2020-01-05 18:00:00,3661
2020-01-05 19:00:00,3624
2020-01-05 20:00:00,3583
2020-01-05 21:00:00,3581
2020-01-05 22:00:00,3590
2020-01-05 23:00:00,3582
2020-01-06 00:00:00,3599
2020-01-06 01:00:00,3687
2020-01-06 02:00:00,3745
2020-01-06 03:00:00,3753
2020-01-06 04:00:00,3732
2020-01-06 05:00:00,3724
2020-01-06 06:00:00,3691
2020-01-06 07:00:00,3730
2020-01-06 08:00:00,3726
2020-01-06 09:00:00,3707
2020-01-06 10:00:00,3754
2020-01-06 11:00:00,3834
