date_time,demand (MW)
2020-01-01 00:00:00,6109
2020-01-01 01:00:00,5909
2020-01-01 02:00:00,5689
2020-01-01 03:00:00,5488
2020-01-01 04:00:00,5276
2020-01-01 05:00:00,5063
2020-01-01 06:00:00,4897
2020-01-01 07:00:00,4763
2020-01-01 08:00:00,4622
2020-01-01 09:00:00,4510
2020-01-01 10:00:00,4456
2020-01-01 11:00:00,4501
2020-01-01 12:00:00,4610
2020-01-01 13:00:00,4711
2020-01-01 14:00:00,4835
2020-01-01 15:00:00,4994
2020-01-01 16:00:00,5116
2020-01-01 17:00:00,5240
2020-01-01 18:00:00,5390
2020-01-01 19:00:00,5474
2020-01-01 20:00:00,5510
2020-01-01 21:00:00,5558
2020-01-01 22:00:00,5692
2020-01-01 23:00:00,5863
2020-01-02 00:00:00,5868
2020-01-02 01:00:00,5818
2020-01-02 02:00:00,5730
2020-01-02 03:00:00,5597
2020-01-02 04:00:00,5359
2020-01-02 05:00:00,5054
2020-01-02 06:00:00,4804
2020-01-02 07:00:00,4638
2020-01-02 08:00:00,4540
2020-01-02 09:00:00,4498
2020-01-02 10:00:00,4549
2020-01-02 11:00:00,4783
2020-01-02 12:00:00,5276
2020-01-02 13:00:00,5756
2020-01-02 14:00:00,6027
2020-01-02 15:00:00,6159
2020-01-02 16:00:00,6203
2020-01-02 17:00:00,6216
2020-01-02 18:00:00,6222
2020-01-02 19:00:00,6228
2020-01-02 20:00:00,6180
2020-01-02 21:00:00,6203
2020-01-02 22:00:00,6323
2020-01-02 23:00:00,6486
2020-01-03 00:00:00,6343
2020-01-03 01:00:00,6167
2020-01-03 02:00:00,5970
2020-01-03 03:00:00,5737
2020-01-03 04:00:00,5408
2020-01-03 05:00:00,5043
2020-01-03 06:00:00,4727
2020-01-03 07:00:00,4525
2020-01-03 08:00:00,4391
2020-01-03 09:00:00,4328
2020-01-03 10:00:00,4348
2020-01-03 11:00:00,4587
2020-01-03 12:00:00,5062
2020-01-03 13:00:00,5548
2020-01-03 14:00:00,5877
2020-01-03 15:00:00,6098
2020-01-03 16:00:00,6195
2020-01-03 17:00:00,6241
2020-01-03 18:00:00,6247
2020-01-03 19:00:00,6236
2020-01-03 20:00:00,6209
2020-01-03 21:00:00,6211
2020-01-03 22:00:00,6303
2020-01-03 23:00:00,6374
2020-01-04 00:00:00,6195
2020-01-04 01:00:00,6012
2020-01-04 02:00:00,5806
2020-01-04 03:00:00,5602
2020-01-04 04:00:00,5333
2020-01-04 05:00:00,5028
2020-01-04 06:00:00,4732
2020-01-04 07:00:00,4527
2020-01-04 08:00:00,4390
2020-01-04 09:00:00,4309
2020-01-04 10:00:00,4296
2020-01-04 11:00:00,4361
2020-01-04 12:00:00,4524
2020-01-04 13:00:00,4761
2020-01-04 14:00:00,4984
2020-01-04 15:00:00,5224
2020-01-04 16:00:00,5412
2020-01-04 17:00:00,5525
2020-01-04 18:00:00,5556
2020-01-04 19:00:00,5542
2020-01-04 20:00:00,5517
2020-01-04 21:00:00,5500
2020-01-04 22:00:00,5583
2020-01-04 23:00:00,5699
2020-01-05 00:00:00,5692
