date_time,demand (MW)
2020-01-01 00:00:00,7990
2020-01-01 01:00:00,7770
2020-01-01 02:00:00,7560
2020-01-01 03:00:00,7347
2020-01-01 04:00:00,7105
2020-01-01 05:00:00,6834
2020-01-01 06:00:00,6651
2020-01-01 07:00:00,6458
2020-01-01 08:00:00,6299
2020-01-01 09:00:00,6233
2020-01-01 10:00:00,6272
2020-01-01 11:00:00,6356
2020-01-01 12:00:00,6452
2020-01-01 13:00:00,6600
2020-01-01 14:00:00,6598
2020-01-01 15:00:00,6732
2020-01-01 16:00:00,6838
2020-01-01 17:00:00,6869
2020-01-01 18:00:00,6826
2020-01-01 19:00:00,6744
2020-01-01 20:00:00,6648
2020-01-01 21:00:00,6626
2020-01-01 22:00:00,6773
2020-01-01 23:00:00,7248
2020-01-02 00:00:00,7424
2020-01-02 01:00:00,7400
2020-01-02 02:00:00,7303
2020-01-02 03:00:00,7148
2020-01-02 04:00:00,6885
2020-01-02 05:00:00,6564
2020-01-02 06:00:00,6379
2020-01-02 07:00:00,6261
2020-01-02 08:00:00,6209
2020-01-02 09:00:00,6258
2020-01-02 10:00:00,6369
2020-01-02 11:00:00,6668
2020-01-02 12:00:00,7249
2020-01-02 13:00:00,7791
2020-01-02 14:00:00,7860
2020-01-02 15:00:00,7949
2020-01-02 16:00:00,8038
2020-01-02 17:00:00,8026
2020-01-02 18:00:00,7978
2020-01-02 19:00:00,7890
2020-01-02 20:00:00,7773
2020-01-02 21:00:00,7707
2020-01-02 22:00:00,7782
2020-01-02 23:00:00,8106
2020-01-03 00:00:00,8118
2020-01-03 01:00:00,7985
2020-01-03 02:00:00,7858
2020-01-03 03:00:00,7589
2020-01-03 04:00:00,7167
2020-01-03 05:00:00,6772
2020-01-03 06:00:00,6496
2020-01-03 07:00:00,6351
2020-01-03 08:00:00,6185
2020-01-03 09:00:00,6169
2020-01-03 10:00:00,6305
2020-01-03 11:00:00,6605
2020-01-03 12:00:00,7109
2020-01-03 13:00:00,7527
2020-01-03 14:00:00,7718
2020-01-03 15:00:00,7757
2020-01-03 16:00:00,7815
2020-01-03 17:00:00,7844
2020-01-03 18:00:00,7832
2020-01-03 19:00:00,7835
2020-01-03 20:00:00,7800
2020-01-03 21:00:00,7643
2020-01-03 22:00:00,7669
2020-01-03 23:00:00,7915
2020-01-04 00:00:00,7856
2020-01-04 01:00:00,7738
2020-01-04 02:00:00,7585
2020-01-04 03:00:00,7372
2020-01-04 04:00:00,7087
2020-01-04 05:00:00,6699
2020-01-04 06:00:00,6394
2020-01-04 07:00:00,6281
2020-01-04 08:00:00,6195
2020-01-04 09:00:00,6129
2020-01-04 10:00:00,6144
2020-01-04 11:00:00,6287
2020-01-04 12:00:00,6498
2020-01-04 13:00:00,6750
2020-01-04 14:00:00,6938
2020-01-04 15:00:00,7142
2020-01-04 16:00:00,7338
2020-01-04 17:00:00,7420
2020-01-04 18:00:00,7463
2020-01-04 19:00:00,7482
2020-01-04 20:00:00,7466
2020-01-04 21:00:00,7439
2020-01-04 22:00:00,7590
2020-01-04 23:00:00,7865
2020-01-05 00:00:00,7792
2020-01-05 01:00:00,7699
2020-01-05 02:00:00,7614
2020-01-05 03:00:00,7459
2020-01-05 04:00:00,7246
2020-01-05 05:00:00,6942
2020-01-05 06:00:00,6651
2020-01-05 07:00:00,6515
2020-01-05 08:00:00,6447
2020-01-05 09:00:00,6389
2020-01-05 10:00:00,6382
2020-01-05 11:00:00,6477
2020-01-05 12:00:00,6601
2020-01-05 13:00:00,6795
2020-01-05 14:00:00,6936
2020-01-05 15:00:00,7137
2020-01-05 16:00:00,7267
2020-01-05 17:00:00,7384
2020-01-05 18:00:00,7460
2020-01-05 19:00:00,7458
2020-01-05 20:00:00,7361
2020-01-05 21:00:00,7438
2020-01-05 22:00:00,7647
2020-01-05 23:00:00,8028
2020-01-06 00:00:00,8064
2020-01-06 01:00:00,7953
2020-01-06 02:00:00,7857
2020-01-06 03:00:00,7568
2020-01-06 04:00:00,7204
2020-01-06 05:00:00,6940
2020-01-06 06:00:00,6692
2020-01-06 07:00:00,6493
2020-01-06 08:00:00,6460
2020-01-06 09:00:00,6551
2020-01-06 10:00:00,6717
2020-01-06 11:00:00,7140
2020-01-06 12:00:00,7786
2020-01-06 13:00:00,8302
2020-01-06 14:00:00,8331
2020-01-06 15:00:00,8335
2020-01-06 16:00:00,8309
2020-01-06 17:00:00,8164
2020-01-06 18:00:00,8083
2020-01-06 19:00:00,8017
2020-01-06 20:00:00,7832
2020-01-06 21:00:00,7782
2020-01-06 22:00:00,7872
2020-01-06 23:00:00,8280
2020-01-07 00:00:00,8502
2020-01-07 01:00:00,8420
2020-01-07 02:00:00,8280
2020-01-07 03:00:00,8048
2020-01-07 04:00:00,7714
2020-01-07 05:00:00,7394
2020-01-07 06:00:00,7145
2020-01-07 07:00:00,7027
2020-01-07 08:00:00,7015
2020-01-07 09:00:00,7001
2020-01-07 10:00:00,7190
2020-01-07 11:00:00,7470
2020-01-07 12:00:00,8056
2020-01-07 13:00:00,8464
2020-01-07 14:00:00,8472
2020-01-07 15:00:00,8473
2020-01-07 16:00:00,8394
2020-01-07 17:00:00,8225
2020-01-07 18:00:00,8115
2020-01-07 19:00:00,8023
2020-01-07 20:00:00,7855
2020-01-07 21:00:00,7820
2020-01-07 22:00:00,7953
2020-01-07 23:00:00,8326
2020-01-08 00:00:00,8461
2020-01-08 01:00:00,8410
2020-01-08 02:00:00,8247
2020-01-08 03:00:00,8016
2020-01-08 04:00:00,7620
2020-01-08 05:00:00,7301
2020-01-08 06:00:00,7108
2020-01-08 07:00:00,6994
2020-01-08 08:00:00,6920
2020-01-08 09:00:00,6876
2020-01-08 10:00:00,7054
2020-01-08 11:00:00,7335
2020-01-08 12:00:00,7901
2020-01-08 13:00:00,8456
2020-01-08 14:00:00,8506
2020-01-08 15:00:00,8522
2020-01-08 16:00:00,8614
2020-01-08 17:00:00,8644
2020-01-08 18:00:00,8652
2020-01-08 19:00:00,8617
2020-01-08 20:00:00,8474
2020-01-08 21:00:00,8423
2020-01-08 22:00:00,8611
