date_time,raw demand (MW),category,cleaned demand (MW)
2020-01-01 00:00:00,7382,OKAY,7382
2020-01-01 01:00:00,7693,OKAY,7693
2020-01-01 02:00:00,7746,OKAY,7746
2020-01-01 03:00:00,7497,OKAY,7497
2020-01-01 04:00:00,7171,OKAY,7171
2020-01-01 05:00:00,6888,OKAY,6888
2020-01-01 06:00:00,6540,OKAY,6540
2020-01-01 07:00:00,6242,OKAY,6242
2020-01-01 08:00:00,5958,OKAY,5958
2020-01-01 09:00:00,5780,OKAY,5780
2020-01-01 10:00:00,5596,OKAY,5596
2020-01-01 11:00:00,5557,OKAY,5557
2020-01-01 12:00:00,5509,OKAY,5509
2020-01-01 13:00:00,5570,OKAY,5570
2020-01-01 14:00:00,5738,OKAY,5738
2020-01-01 15:00:00,5959,OKAY,5959
2020-01-01 16:00:00,6117,OKAY,6117
2020-01-01 17:00:00,6308,OKAY,6308
2020-01-01 18:00:00,6505,OKAY,6505
2020-01-01 19:00:00,6675,OKAY,6675
2020-01-01 20:00:00,6574,OKAY,6574
2020-01-01 21:00:00,6575,OKAY,6575
2020-01-01 22:00:00,6458,OKAY,6458
2020-01-01 23:00:00,6399,OKAY,6399
2020-01-02 00:00:00,6467,OKAY,6467
2020-01-02 01:00:00,6797,OKAY,6797
2020-01-02 02:00:00,7057,OKAY,7057
2020-01-02 03:00:00,7018,OKAY,7018
2020-01-02 04:00:00,6903,OKAY,6903
2020-01-02 05:00:00,6768,OKAY,6768
2020-01-02 06:00:00,6491,OKAY,6491
2020-01-02 07:00:00,6155,OKAY,6155
2020-01-02 08:00:00,5789,OKAY,5789
2020-01-02 09:00:00,5666,OKAY,5666
2020-01-02 10:00:00,5606,OKAY,5606
2020-01-02 11:00:00,5579,OKAY,5579
2020-01-02 12:00:00,5653,OKAY,5653
2020-01-02 13:00:00,5865,OKAY,5865
2020-01-02 14:00:00,6303,OKAY,6303
2020-01-02 15:00:00,6848,OKAY,6848
2020-01-02 16:00:00,7264,OKAY,7264
2020-01-02 17:00:00,7358,OKAY,7358
2020-01-02 18:00:00,7360,OKAY,7360
2020-01-02 19:00:00,7378,OKAY,7378
2020-01-02 20:00:00,7335,OKAY,7335
2020-01-02 21:00:00,7297,OKAY,7297
2020-01-02 22:00:00,7238,OKAY,7238
2020-01-02 23:00:00,7293,OKAY,7293
2020-01-03 00:00:00,7383,OKAY,7383
2020-01-03 01:00:00,7703,OKAY,7703
2020-01-03 02:00:00,7884,OKAY,7884
2020-01-03 03:00:00,7854,OKAY,7854
2020-01-03 04:00:00,7683,OKAY,7683
2020-01-03 05:00:00,7461,OKAY,7461
2020-01-03 06:00:00,7120,OKAY,7120
2020-01-03 07:00:00,6678,OKAY,6678
2020-01-03 08:00:00,6312,OKAY,6312
2020-01-03 09:00:00,6077,OKAY,6077
2020-01-03 10:00:00,5909,OKAY,5909
2020-01-03 11:00:00,5886,OKAY,5886
2020-01-03 12:00:00,5865,OKAY,5865
2020-01-03 13:00:00,6052,OKAY,6052
2020-01-03 14:00:00,6445,OKAY,6445
2020-01-03 15:00:00,6935,OKAY,6935
2020-01-03 16:00:00,7243,OKAY,7243
2020-01-03 17:00:00,7299,OKAY,7299
2020-01-03 18:00:00,7259,OKAY,7259
2020-01-03 19:00:00,7106,OKAY,7106
2020-01-03 20:00:00,6912,OKAY,6912
2020-01-03 21:00:00,6772,OKAY,6772
2020-01-03 22:00:00,6668,OKAY,6668
2020-01-03 23:00:00,6511,OKAY,6511
2020-01-04 00:00:00,6684,OKAY,6684
2020-01-04 01:00:00,7002,OKAY,7002
2020-01-04 02:00:00,7300,OKAY,7300
2020-01-04 03:00:00,7189,OKAY,7189
2020-01-04 04:00:00,6960,OKAY,6960
2020-01-04 05:00:00,6831,OKAY,6831
2020-01-04 06:00:00,6582,OKAY,6582
2020-01-04 07:00:00,6213,OKAY,6213
2020-01-04 08:00:00,5953,OKAY,5953
2020-01-04 09:00:00,5835,OKAY,5835
2020-01-04 10:00:00,5768,OKAY,5768
2020-01-04 11:00:00,5756,OKAY,5756
2020-01-04 12:00:00,5839,OKAY,5839
2020-01-04 13:00:00,5951,OKAY,5951
2020-01-04 14:00:00,6237,OKAY,6237
2020-01-04 15:00:00,6623,OKAY,6623
2020-01-04 16:00:00,7034,OKAY,7034
2020-01-04 17:00:00,7320,OKAY,7320
2020-01-04 18:00:00,7376,OKAY,7376
2020-01-04 19:00:00,7302,OKAY,7302
2020-01-04 20:00:00,7143,OKAY,7143
2020-01-04 21:00:00,7023,OKAY,7023
2020-01-04 22:00:00,6932,OKAY,6932
2020-01-04 23:00:00,6841,OKAY,6841
2020-01-05 00:00:00,6917,OKAY,6917
2020-01-05 01:00:00,7208,OKAY,7208
2020-01-05 02:00:00,7600,OKAY,7600
2020-01-05 03:00:00,7499,OKAY,7499
2020-01-05 04:00:00,7316,OKAY,7316
2020-01-05 05:00:00,7115,OKAY,7115
2020-01-05 06:00:00,6861,OKAY,6861
2020-01-05 07:00:00,6515,OKAY,6515
2020-01-05 08:00:00,6172,OKAY,6172
2020-01-05 09:00:00,5898,OKAY,5898
2020-01-05 10:00:00,5743,OKAY,5743
2020-01-05 11:00:00,5741,OKAY,5741
2020-01-05 12:00:00,5774,OKAY,5774
2020-01-05 13:00:00,5889,OKAY,5889
2020-01-05 14:00:00,6119,OKAY,6119
2020-01-05 15:00:00,6438,OKAY,6438
2020-01-05 16:00:00,6862,OKAY,6862
2020-01-05 17:00:00,7156,OKAY,7156
2020-01-05 18:00:00,7296,OKAY,7296
2020-01-05 19:00:00,7381,OKAY,7381
2020-01-05 20:00:00,7360,OKAY,7360
2020-01-05 21:00:00,7273,OKAY,7273
2020-01-05 22:00:00,7154,OKAY,7154
2020-01-05 23:00:00,7030,OKAY,7030
