date_time,raw demand (MW),category,cleaned demand (MW)
2020-01-01 00:00:00,9890,OKAY,9890
2020-01-01 01:00:00,10520,OKAY,10520
2020-01-01 02:00:00,11676,OKAY,11676
2020-01-01 03:00:00,11669,OKAY,11669
2020-01-01 04:00:00,11341,OKAY,11341
2020-01-01 05:00:00,10999,OKAY,10999
2020-01-01 06:00:00,10673,OKAY,10673
2020-01-01 07:00:00,10265,OKAY,10265
2020-01-01 08:00:00,9833,OKAY,9833
2020-01-01 09:00:00,9390,OKAY,9390
2020-01-01 10:00:00,9065,OKAY,9065
2020-01-01 11:00:00,8830,OKAY,8830
2020-01-01 12:00:00,8704,OKAY,8704
2020-01-01 13:00:00,8647,OKAY,8647
2020-01-01 14:00:00,8820,OKAY,8820
2020-01-01 15:00:00,9053,OKAY,9053
2020-01-01 16:00:00,8933,OKAY,8933
2020-01-01 17:00:00,8695,OKAY,8695
2020-01-01 18:00:00,8452,OKAY,8452
2020-01-01 19:00:00,8149,OKAY,8149
2020-01-01 20:00:00,8001,OKAY,8001
2020-01-01 21:00:00,7875,OKAY,7875
2020-01-01 22:00:00,7941,OKAY,7941
2020-01-01 23:00:00,8291,OKAY,8291
2020-01-02 00:00:00,8665,OKAY,8665
2020-01-02 01:00:00,9363,OKAY,9363
2020-01-02 02:00:00,10577,OKAY,10577
2020-01-02 03:00:00,10857,OKAY,10857
2020-01-02 04:00:00,10816,OKAY,10816
2020-01-02 05:00:00,10563,OKAY,10563
2020-01-02 06:00:00,10267,OKAY,10267
2020-01-02 07:00:00,9726,OKAY,9726
2020-01-02 08:00:00,9204,OKAY,9204
2020-01-02 09:00:00,8737,OKAY,8737
2020-01-02 10:00:00,8513,OKAY,8513
2020-01-02 11:00:00,8327,OKAY,8327
2020-01-02 12:00:00,8333,OKAY,8333
2020-01-02 13:00:00,8669,OKAY,8669
2020-01-02 14:00:00,9297,OKAY,9297
2020-01-02 15:00:00,10157,OKAY,10157
2020-01-02 16:00:00,10585,OKAY,10585
2020-01-02 17:00:00,10865,OKAY,10865
2020-01-02 18:00:00,10627,OKAY,10627
2020-01-02 19:00:00,10287,OKAY,10287
2020-01-02 20:00:00,10091,OKAY,10091
2020-01-02 21:00:00,10078,OKAY,10078
2020-01-02 22:00:00,10241,OKAY,10241
2020-01-02 23:00:00,10392,OKAY,10392
2020-01-03 00:00:00,10572,OKAY,10572
2020-01-03 01:00:00,11090,OKAY,11090
2020-01-03 02:00:00,12169,OKAY,12169
2020-01-03 03:00:00,12282,OKAY,12282
2020-01-03 04:00:00,12172,OKAY,12172
2020-01-03 05:00:00,11882,OKAY,11882
2020-01-03 06:00:00,11496,OKAY,11496
2020-01-03 07:00:00,10872,OKAY,10872
2020-01-03 08:00:00,10134,OKAY,10134
2020-01-03 09:00:00,9573,OKAY,9573
2020-01-03 10:00:00,9201,OKAY,9201
2020-01-03 11:00:00,8993,OKAY,8993
2020-01-03 12:00:00,8954,OKAY,8954
2020-01-03 13:00:00,9166,OKAY,9166
2020-01-03 14:00:00,9744,OKAY,9744
2020-01-03 15:00:00,10568,OKAY,10568
2020-01-03 16:00:00,10860,OKAY,10860
2020-01-03 17:00:00,10791,OKAY,10791
2020-01-03 18:00:00,10534,OKAY,10534
2020-01-03 19:00:00,10365,OKAY,10365
2020-01-03 20:00:00,10225,OKAY,10225
2020-01-03 21:00:00,10114,OKAY,10114
2020-01-03 22:00:00,10081,OKAY,10081
2020-01-03 23:00:00,10167,OKAY,10167
2020-01-04 00:00:00,10456,OKAY,10456
2020-01-04 01:00:00,11031,OKAY,11031
2020-01-04 02:00:00,11896,OKAY,11896
2020-01-04 03:00:00,11977,OKAY,11977
2020-01-04 04:00:00,11814,OKAY,11814
2020-01-04 05:00:00,11578,OKAY,11578
