date_time,raw demand (MW),category,cleaned demand (MW)
2020-01-01 00:00:00,6477,OKAY,6477
2020-01-01 01:00:00,6762,OKAY,6762
2020-01-01 02:00:00,6511,OKAY,6511
2020-01-01 03:00:00,6226,OKAY,6226
2020-01-01 04:00:00,6029,OKAY,6029
2020-01-01 05:00:00,5835,OKAY,5835
2020-01-01 06:00:00,5678,OKAY,5678
2020-01-01 07:00:00,5519,OKAY,5519
2020-01-01 08:00:00,5435,OKAY,5435
2020-01-01 09:00:00,5312,OKAY,5312
2020-01-01 10:00:00,5253,OKAY,5253
2020-01-01 11:00:00,5277,OKAY,5277
2020-01-01 12:00:00,5366,OKAY,5366
2020-01-01 13:00:00,5535,OKAY,5535
2020-01-01 14:00:00,5626,OKAY,5626
2020-01-01 15:00:00,5747,OKAY,5747
2020-01-01 16:00:00,5973,OKAY,5973
2020-01-01 17:00:00,6177,OKAY,6177
2020-01-01 18:00:00,6228,OKAY,6228
2020-01-01 19:00:00,6286,OKAY,6286
2020-01-01 20:00:00,6270,OKAY,6270
2020-01-01 21:00:00,6205,OKAY,6205
2020-01-01 22:00:00,6187,OKAY,6187
2020-01-01 23:00:00,6272,OKAY,6272
2020-01-02 00:00:00,6548,OKAY,6548
2020-01-02 01:00:00,6760,OKAY,6760
2020-01-02 02:00:00,6664,OKAY,6664
2020-01-02 03:00:00,6502,OKAY,6502
2020-01-02 04:00:00,6264,OKAY,6264
2020-01-02 05:00:00,5926,OKAY,5926
2020-01-02 06:00:00,5541,OKAY,5541
2020-01-02 07:00:00,5264,OKAY,5264
2020-01-02 08:00:00,5089,OKAY,5089
2020-01-02 09:00:00,5000,OKAY,5000
2020-01-02 10:00:00,4997,OKAY,4997
2020-01-02 11:00:00,5118,OKAY,5118
2020-01-02 12:00:00,5458,OKAY,5458
2020-01-02 13:00:00,5855,OKAY,5855
2020-01-02 14:00:00,6118,OKAY,6118
2020-01-02 15:00:00,6224,OKAY,6224
2020-01-02 16:00:00,6322,OKAY,6322
2020-01-02 17:00:00,6342,OKAY,6342
2020-01-02 18:00:00,6332,OKAY,6332
2020-01-02 19:00:00,6283,OKAY,6283
2020-01-02 20:00:00,6203,OKAY,6203
2020-01-02 21:00:00,6086,OKAY,6086
2020-01-02 22:00:00,6000,OKAY,6000
2020-01-02 23:00:00,5937,OKAY,5937
2020-01-03 00:00:00,6109,OKAY,6109
2020-01-03 01:00:00,6613,OKAY,6613
2020-01-03 02:00:00,6646,OKAY,6646
2020-01-03 03:00:00,6549,OKAY,6549
2020-01-03 04:00:00,6385,OKAY,6385
2020-01-03 05:00:00,6096,OKAY,6096
2020-01-03 06:00:00,5739,OKAY,5739
2020-01-03 07:00:00,5519,OKAY,5519
2020-01-03 08:00:00,5370,OKAY,5370
2020-01-03 09:00:00,5318,OKAY,5318
2020-01-03 10:00:00,5275,OKAY,5275
2020-01-03 11:00:00,5383,OKAY,5383
2020-01-03 12:00:00,5749,OKAY,5749
2020-01-03 13:00:00,6243,OKAY,6243
2020-01-03 14:00:00,6610,OKAY,6610
2020-01-03 15:00:00,6598,OKAY,6598
2020-01-03 16:00:00,6336,OKAY,6336
2020-01-03 17:00:00,6122,OKAY,6122
2020-01-03 18:00:00,5908,OKAY,5908
2020-01-03 19:00:00,5772,OKAY,5772
2020-01-03 20:00:00,5661,OKAY,5661
2020-01-03 21:00:00,5615,OKAY,5615
2020-01-03 22:00:00,5627,OKAY,5627
2020-01-03 23:00:00,5698,OKAY,5698
2020-01-04 00:00:00,5943,OKAY,5943
2020-01-04 01:00:00,6382,OKAY,6382
2020-01-04 02:00:00,6404,OKAY,6404
2020-01-04 03:00:00,6375,OKAY,6375
2020-01-04 04:00:00,6308,OKAY,6308
2020-01-04 05:00:00,6122,OKAY,6122
2020-01-04 06:00:00,5906,OKAY,5906
2020-01-04 07:00:00,5746,OKAY,5746
2020-01-04 08:00:00,5674,OKAY,5674
2020-01-04 09:00:00,5654,OKAY,5654
2020-01-04 10:00:00,5743,OKAY,5743
2020-01-04 11:00:00,5892,OKAY,5892
2020-01-04 12:00:00,6190,OKAY,6190
2020-01-04 13:00:00,6603,OKAY,6603
2020-01-04 14:00:00,6992,OKAY,6992
2020-01-04 15:00:00,7029,OKAY,7029
2020-01-04 16:00:00,6682,OKAY,6682
2020-01-04 17:00:00,6241,OKAY,6241
2020-01-04 18:00:00,5863,OKAY,5863
2020-01-04 19:00:00,5588,OKAY,5588
2020-01-04 20:00:00,5396,OKAY,5396
2020-01-04 21:00:00,5323,OKAY,5323
