date_time,raw demand (MW),category,cleaned demand (MW)
2020-01-01 00:00:00,10824,OKAY,10824
2020-01-01 01:00:00,10504,OKAY,10504
2020-01-01 02:00:00,10201,OKAY,10201
2020-01-01 03:00:00,9997,OKAY,9997
2020-01-01 04:00:00,9709,OKAY,9709
2020-01-01 05:00:00,9436,OKAY,9436
2020-01-01 06:00:00,9162,OKAY,9162
2020-01-01 07:00:00,8913,OKAY,8913
2020-01-01 08:00:00,8884,OKAY,8884
2020-01-01 09:00:00,8753,OKAY,8753
2020-01-01 10:00:00,8759,OKAY,8759
2020-01-01 11:00:00,8849,OKAY,8849
2020-01-01 12:00:00,9029,OKAY,9029
2020-01-01 13:00:00,9240,OKAY,9240
2020-01-01 14:00:00,9284,OKAY,9284
2020-01-01 15:00:00,9233,OKAY,9233
2020-01-01 16:00:00,9101,OKAY,9101
2020-01-01 17:00:00,8901,OKAY,8901
2020-01-01 18:00:00,8937,OKAY,8937
2020-01-01 19:00:00,8727,OKAY,8727
2020-01-01 20:00:00,8518,OKAY,8518
2020-01-01 21:00:00,8440,OKAY,8440
2020-01-01 22:00:00,8671,OKAY,8671
2020-01-01 23:00:00,9143,OKAY,9143
2020-01-02 00:00:00,9722,OKAY,9722
2020-01-02 01:00:00,9747,OKAY,9747
2020-01-02 02:00:00,9661,OKAY,9661
2020-01-02 03:00:00,9554,OKAY,9554
2020-01-02 04:00:00,9359,OKAY,9359
2020-01-02 05:00:00,9098,OKAY,9098
2020-01-02 06:00:00,8865,OKAY,8865
2020-01-02 07:00:00,8778,OKAY,8778
2020-01-02 08:00:00,8640,OKAY,8640
2020-01-02 09:00:00,8697,OKAY,8697
2020-01-02 10:00:00,8747,OKAY,8747
2020-01-02 11:00:00,9044,OKAY,9044
2020-01-02 12:00:00,9511,OKAY,9511
2020-01-02 13:00:00,10026,OKAY,10026
2020-01-02 14:00:00,10164,OKAY,10164
2020-01-02 15:00:00,10119,OKAY,10119
2020-01-02 16:00:00,10031,OKAY,10031
2020-01-02 17:00:00,9884,OKAY,9884
2020-01-02 18:00:00,9818,OKAY,9818
2020-01-02 19:00:00,9887,OKAY,9887
2020-01-02 20:00:00,9856,OKAY,9856
2020-01-02 21:00:00,9835,OKAY,9835
2020-01-02 22:00:00,9843,OKAY,9843
2020-01-02 23:00:00,10101,OKAY,10101
2020-01-03 00:00:00,10283,OKAY,10283
2020-01-03 01:00:00,10176,OKAY,10176
2020-01-03 02:00:00,10091,OKAY,10091
2020-01-03 03:00:00,9880,OKAY,9880
2020-01-03 04:00:00,9509,OKAY,9509
2020-01-03 05:00:00,9168,OKAY,9168
2020-01-03 06:00:00,8856,OKAY,8856
2020-01-03 07:00:00,8650,OKAY,8650
2020-01-03 08:00:00,8523,OKAY,8523
2020-01-03 09:00:00,8462,OKAY,8462
2020-01-03 10:00:00,8525,OKAY,8525
2020-01-03 11:00:00,8778,OKAY,8778
2020-01-03 12:00:00,9311,OKAY,9311
2020-01-03 13:00:00,9782,OKAY,9782
2020-01-03 14:00:00,9952,OKAY,9952
2020-01-03 15:00:00,10021,OKAY,10021
2020-01-03 16:00:00,10076,OKAY,10076
2020-01-03 17:00:00,10112,OKAY,10112
2020-01-03 18:00:00,10067,OKAY,10067
2020-01-03 19:00:00,10133,OKAY,10133
2020-01-03 20:00:00,10069,OKAY,10069
2020-01-03 21:00:00,10082,OKAY,10082
2020-01-03 22:00:00,10079,OKAY,10079
2020-01-03 23:00:00,10260,OKAY,10260
2020-01-04 00:00:00,10318,OKAY,10318
2020-01-04 01:00:00,10351,OKAY,10351
2020-01-04 02:00:00,10227,OKAY,10227
2020-01-04 03:00:00,9991,OKAY,9991
2020-01-04 04:00:00,9733,OKAY,9733
2020-01-04 05:00:00,9387,OKAY,9387
2020-01-04 06:00:00,9079,OKAY,9079
2020-01-04 07:00:00,8849,OKAY,8849
2020-01-04 08:00:00,8755,OKAY,8755
2020-01-04 09:00:00,8727,OKAY,8727
2020-01-04 10:00:00,8830,OKAY,8830
2020-01-04 11:00:00,8959,OKAY,8959
2020-01-04 12:00:00,9277,OKAY,9277
2020-01-04 13:00:00,9500,OKAY,9500
2020-01-04 14:00:00,9759,OKAY,9759
2020-01-04 15:00:00,10018,OKAY,10018
2020-01-04 16:00:00,10222,OKAY,10222
2020-01-04 17:00:00,10245,OKAY,10245
2020-01-04 18:00:00,10337,OKAY,10337
2020-01-04 19:00:00,10307,OKAY,10307
2020-01-04 20:00:00,10282,OKAY,10282
2020-01-04 21:00:00,10345,OKAY,10345
2020-01-04 22:00:00,10445,OKAY,10445
2020-01-04 23:00:00,10633,OKAY,10633
2020-01-05 00:00:00,10855,OKAY,10855
2020-01-05 01:00:00,10701,OKAY,10701
2020-01-05 02:00:00,10592,OKAY,10592
2020-01-05 03:00:00,10389,OKAY,10389
2020-01-05 04:00:00,10155,OKAY,10155
2020-01-05 05:00:00,9904,OKAY,9904
2020-01-05 06:00:00,9585,OKAY,9585
2020-01-05 07:00:00,9443,OKAY,9443
2020-01-05 08:00:00,9356,OKAY,9356
2020-01-05 09:00:00,9319,OKAY,9319
2020-01-05 10:00:00,9447,OKAY,9447
2020-01-05 11:00:00,9629,OKAY,9629
2020-01-05 12:00:00,9737,OKAY,9737
2020-01-05 13:00:00,10037,OKAY,10037
2020-01-05 14:00:00,10236,OKAY,10236
2020-01-05 15:00:00,10149,OKAY,10149
2020-01-05 16:00:00,9974,OKAY,9974
2020-01-05 17:00:00,9807,OKAY,9807
2020-01-05 18:00:00,9648,OKAY,9648
2020-01-05 19:00:00,9525,OKAY,9525
2020-01-05 20:00:00,9357,OKAY,9357
2020-01-05 21:00:00,9180,OKAY,9180
2020-01-05 22:00:00,9367,OKAY,9367
2020-01-05 23:00:00,9941,OKAY,9941
2020-01-06 00:00:00,10356,OKAY,10356
2020-01-06 01:00:00,10318,OKAY,10318
2020-01-06 02:00:00,10275,OKAY,10275
